county,climReg
Alameda,Bay Area
Alpine,Southeast Sierra
Amador,North Sierra
Butte,Northern Central Valley
Calaveras,North Sierra
Colusa,Northern Central Valley
Contra Costa,Bay Area
Del Norte,North Coast
El Dorado,North Sierra
Fresno,Southern Central Valley
Glenn,Northern Central Valley
Humboldt,North Coast
Imperial,Desert
Inyo,Southeast Sierra
Kern,Southern Central Valley
Kings,Southern Central Valley
Lake,North Coast
Lassen,North
Los Angeles,South Coast
Madera,Northern Central Valley
Marin,Bay Area
Mariposa,North Sierra
Mendocino,North Coast
Merced,Northern Central Valley
Modoc,North
Mono,Southeast Sierra
Monterey,Central Coast
Napa,Bay Area
Nevada,North Sierra
Orange,South Coast
Placer,North Sierra
Plumas,North Sierra
Riverside,Desert
Sacramento,Northern Central Valley
San Benito,Central Coast
San Bernardino,Desert
San Diego,South Coast
San Francisco,Bay Area
San Joaquin,Northern Central Valley
San Luis Obispo,Central Coast
San Mateo,Bay Area
Santa Barbara,Central Coast
Santa Clara,Bay Area
Santa Cruz,Central Coast
Shasta,North
Sierra,North Sierra
Siskiyou,North
Solano,Bay Area
Sonoma,Bay Area
Stanislaus,Northern Central Valley
Sutter,Northern Central Valley
Tehama,Northern Central Valley
Trinity,North
Tulare,Southern Central Valley
Tuolumne,North Sierra
Ventura,South Coast
Yolo,Northern Central Valley
Yuba,Northern Central Valley
